timestamp,market,buy_volume,sell_volume,net_flow,message
2025-09-13T11:20:12.228839,BTC/USDT,0,0,0,"BTC/USDT: Buy 0, Sell 0, Net 0"
2025-09-13T11:20:56.451043,ETH/USDT,0,0,0,"ETH/USDT: Buy 0, Sell 0, Net 0"
2025-09-13T11:21:47.191680,XRP/USDT,0,0,0,"XRP/USDT: Buy 0, Sell 0, Net 0"
2025-09-13T11:21:55.143261,AAPL,0,0,0,"AAPL: Buy 0, Sell 0, Net 0"
2025-09-13T11:21:56.311778,MSFT,0,0,0,"MSFT: Buy 0, Sell 0, Net 0"
2025-09-13T11:21:59.864865,GOOG,0,0,0,"GOOG: Buy 0, Sell 0, Net 0"
2025-09-13T11:22:02.345084,GC=F,0,0,0,"GC=F: Buy 0, Sell 0, Net 0"
2025-09-13T11:37:15.489918,BTC/USDT,256991.70940579998,145844.7408222,111146.96858359998,"BTC/USDT: Buy 256,992, Sell 145,845, Net 111,147"
2025-09-13T11:37:24.977539,ETH/USDT,880550.2295460001,224222.559965,656327.6695810001,"ETH/USDT: Buy 880,550, Sell 224,223, Net 656,328"
2025-09-13T11:37:36.798902,XRP/USDT,95365.42174999996,420298.24876999983,-324932.82701999985,"XRP/USDT: Buy 95,365, Sell 420,298, Net -324,933"
2025-09-13T11:37:41.941049,AAPL,0,0,0,"AAPL: Buy 0, Sell 0, Net 0"
2025-09-13T11:37:43.076864,MSFT,0,0,0,"MSFT: Buy 0, Sell 0, Net 0"
2025-09-13T11:37:47.281511,GOOG,0,0,0,"GOOG: Buy 0, Sell 0, Net 0"
2025-09-13T11:37:48.863438,GC=F,0,0,0,"GC=F: Buy 0, Sell 0, Net 0"
