timestamp,market,buy_volume,sell_volume,net_flow,buy_%,sell_%,net_%,trend,message
2026-05-31T04:25:30.375829,BTC/USDT,210.924659548,176.624037972,34.300621576,54.42533051917041,45.574669480829584,8.85066103834083,⚪,⚪ Buy: 54.4% | Sell: 45.6% | Net: 8.9% | Value: 34
2026-05-31T04:25:31.673428,ETH/USDT,4450.384664939999,3776.19141676,674.1932481799995,54.09765400261563,45.90234599738437,8.195308005231253,⚪,⚪ Buy: 54.1% | Sell: 45.9% | Net: 8.2% | Value: 674
2026-05-31T04:25:33.581100,BNB/USDT,5557.472901516,4839.287752274,718.1851492420001,53.45388901965439,46.546110980345624,6.907778039308766,⚪,⚪ Buy: 53.5% | Sell: 46.5% | Net: 6.9% | Value: 718
2026-05-31T04:25:35.031628,XRP/USDT,3835103.72146,3725545.32884,109558.39262000006,50.72453034052449,49.27546965947551,1.4490606810489752,⚪,"⚪ Buy: 50.7% | Sell: 49.3% | Net: 1.4% | Value: 109,558"
2026-05-31T04:25:36.422799,SOL/USDT,19222.7888,16946.2662,2276.5226000000002,53.147058445403125,46.85294155459688,6.2941168908062455,⚪,"⚪ Buy: 53.1% | Sell: 46.9% | Net: 6.3% | Value: 2,277"
2026-05-31T04:25:37.729274,DOGE/USDT,1818776.41974,2198421.2324599996,-379644.8127199996,45.274755618358874,54.72524438164113,-9.450488763282257,⚪,"⚪ Buy: 45.3% | Sell: 54.7% | Net: -9.5% | Value: -379,645"
2026-05-31T04:25:39.116035,ADA/USDT,1424936.084,1418794.3659999997,6141.718000000343,50.107986992930364,49.892013007069636,0.21597398586073244,⚪,"⚪ Buy: 50.1% | Sell: 49.9% | Net: 0.2% | Value: 6,142"
2026-05-31T04:25:40.385656,TRX/USDT,1085500.5359999998,1178244.5739999998,-92744.03799999994,47.95153532104152,52.048464678958496,-4.096929357916977,⚪,"⚪ Buy: 48.0% | Sell: 52.0% | Net: -4.1% | Value: -92,744"
2026-05-31T04:25:42.171593,AVAX/USDT,43950.79216,41579.070640000005,2371.721519999992,51.386487387186584,48.61351261281341,2.7729747743731816,⚪,"⚪ Buy: 51.4% | Sell: 48.6% | Net: 2.8% | Value: 2,372"
2026-05-31T04:25:43.926186,DOT/USDT,6167708.614320001,5856536.79988,311171.8144400008,51.2939348945445,48.7060651054555,2.587869789088996,⚪,"⚪ Buy: 51.3% | Sell: 48.7% | Net: 2.6% | Value: 311,172"
2026-05-31T04:25:45.262789,LINK/USDT,54902.32598,56298.25632,-1395.930339999999,49.37233676698112,50.62766323301887,-1.2553264660377583,⚪,"⚪ Buy: 49.4% | Sell: 50.6% | Net: -1.3% | Value: -1,396"
2026-05-31T04:25:46.598195,SUI/USDT,874796.4999999999,811756.2999999999,63040.19999999995,51.868906802087665,48.131093197912335,3.7378136041753307,⚪,"⚪ Buy: 51.9% | Sell: 48.1% | Net: 3.7% | Value: 63,040"
2026-05-31T04:25:47.784783,SHIB/USDT,215316143791.9205,177374458709.46335,37941685082.45715,54.830989695293695,45.169010304706305,9.661979390587389,⚪,"⚪ Buy: 54.8% | Sell: 45.2% | Net: 9.7% | Value: 37,941,685,082"
2026-05-31T04:25:49.939023,LTC/USDT,7199.8223,5643.7146999999995,1556.1076000000003,56.05794026988048,43.94205973011951,12.115880539760973,⚪,"⚪ Buy: 56.1% | Sell: 43.9% | Net: 12.1% | Value: 1,556"
2026-05-31T04:25:51.311153,ATOM/USDT,12413.492920000002,11641.375979999999,772.1169400000035,51.604907811407784,48.395092188592216,3.2098156228155683,⚪,⚪ Buy: 51.6% | Sell: 48.4% | Net: 3.2% | Value: 772
2026-05-31T04:25:53.081177,XLM/USDT,10265216.792085376,12306943.943128062,-2041727.1510426868,45.477333395341475,54.52266660465853,-9.045333209317059,⚪,"⚪ Buy: 45.5% | Sell: 54.5% | Net: -9.0% | Value: -2,041,727"
2026-05-31T04:25:54.383248,UNI/USDT,52960.145780000006,49090.98962,3869.156160000006,51.89569481262235,48.10430518737766,3.791389625244685,⚪,"⚪ Buy: 51.9% | Sell: 48.1% | Net: 3.8% | Value: 3,869"
